#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00340069	  0.000243482	  3	  0.000152749
1	  0.20944	  1	  0.00120796	  7.06611e-05	  3	  4.43293e-05
2	  0.314159	  1	  0.00056581	  6.59344e-05	  3	  4.13639e-05
3	  0.418879	  1	  0.000317111	  1.21796e-05	  3	  7.64086e-06
4	  0.523599	  1	  0.000200477	  3.73647e-06	  3	  2.34407e-06
5	  0.628319	  1	  0.000135839	  1.94774e-05	  3	  1.22192e-05
6	  0.733038	  1	  9.71158e-05	  8.27474e-06	  3	  5.19116e-06
7	  0.837758	  1	  7.2289e-05	  6.96052e-06	  3	  4.36669e-06
8	  0.942478	  1	  5.55114e-05	  1.05341e-06	  3	  6.60857e-07
9	  0.10472	  0	  0.00340069	  4.37092e-05	  6	  2.00297e-05
10	  0.148096	  0.707107	  0.00216258	  6.07236e-05	  12	  2.05656e-05
11	  0.23416	  0.894427	  0.000956871	  7.11915e-05	  12	  2.41108e-05
12	  0.331153	  0.948683	  0.000512389	  2.92731e-05	  12	  9.91407e-06
13	  0.431771	  0.970143	  0.000298428	  1.65289e-05	  12	  5.59792e-06
14	  0.533968	  0.980581	  0.000192286	  1.03135e-05	  12	  3.49292e-06
15	  0.636985	  0.986394	  0.000131856	  6.84117e-06	  12	  2.31693e-06
16	  0.74048	  0.989949	  9.50147e-05	  8.53635e-06	  12	  2.89105e-06
17	  0.844278	  0.992278	  7.10317e-05	  4.28874e-06	  12	  1.45249e-06
18	  0.948278	  0.993884	  5.47385e-05	  4.06698e-06	  12	  1.37738e-06
19	  0.148096	  0	  0.00216258	  2.32767e-05	  6	  1.06665e-05
20	  0.18138	  0.57735	  0.00153421	  3.04179e-05	  12	  1.03018e-05
21	  0.25651	  0.816497	  0.000842148	  3.48818e-05	  12	  1.18136e-05
22	  0.347316	  0.904534	  0.000461525	  2.04671e-05	  12	  6.93171e-06
23	  0.444288	  0.942809	  0.000282116	  1.28349e-05	  12	  4.34685e-06
24	  0.54414	  0.96225	  0.000184652	  1.22377e-05	  12	  4.1446e-06
25	  0.645536	  0.973329	  0.000128147	  7.11772e-06	  12	  2.4106e-06
26	  0.747849	  0.980196	  9.29373e-05	  5.00246e-06	  12	  1.69421e-06
27	  0.850747	  0.984732	  6.98511e-05	  5.38153e-06	  12	  1.82259e-06
28	  0.954042	  0.987878	  5.39956e-05	  3.7448e-06	  12	  1.26827e-06
29	  0.20944	  0	  0.00120796	  1.48619e-05	  6	  6.81046e-06
30	  0.23416	  0.447214	  0.000956871	  2.34453e-05	  12	  7.94033e-06
31	  0.296192	  0.707107	  0.000623093	  2.7847e-05	  12	  9.43108e-06
32	  0.377572	  0.83205	  0.000392702	  1.88627e-05	  12	  6.38834e-06
33	  0.468321	  0.894427	  0.000253118	  1.45976e-05	  12	  4.94384e-06
34	  0.563933	  0.928477	  0.000171157	  6.00564e-06	  12	  2.03396e-06
35	  0.662306	  0.948683	  0.000121199	  6.10016e-06	  12	  2.06597e-06
36	  0.762371	  0.961524	  8.90872e-05	  5.66891e-06	  12	  1.91992e-06
37	  0.863541	  0.970143	  6.75513e-05	  1.76822e-06	  12	  5.98852e-07
38	  0.965468	  0.976187	  5.25652e-05	  2.86908e-06	  12	  9.71686e-07
39	  0.23416	  0	  0.000956871	  1.46513e-05	  12	  4.96202e-06
40	  0.25651	  0.408248	  0.000842148	  1.41701e-05	  24	  3.60096e-06
41	  0.314159	  0.666667	  0.00056581	  1.92144e-05	  24	  4.88284e-06
42	  0.391825	  0.801784	  0.000365623	  1.41982e-05	  24	  3.60811e-06
43	  0.479886	  0.872872	  0.000240238	  1.6532e-05	  24	  4.20119e-06
44	  0.573574	  0.912871	  0.000165194	  7.34399e-06	  24	  1.86629e-06
45	  0.670534	  0.937043	  0.000118025	  5.18639e-06	  24	  1.31799e-06
46	  0.76953	  0.952579	  8.72914e-05	  4.89055e-06	  24	  1.24281e-06
47	  0.869868	  0.963087	  6.64672e-05	  4.04273e-06	  24	  1.02736e-06
48	  0.971131	  0.970495	  5.18642e-05	  3.20508e-06	  24	  8.14489e-07
49	  0.296192	  0	  0.000623093	  8.44869e-06	  6	  3.8716e-06
50	  0.314159	  0.333333	  0.00056581	  1.05931e-05	  12	  3.5876e-06
51	  0.36276	  0.57735	  0.000422434	  9.03205e-06	  12	  3.05893e-06
52	  0.431771	  0.727607	  0.000298428	  1.13166e-05	  12	  3.83266e-06
53	  0.51302	  0.816497	  0.000209203	  1.04443e-05	  12	  3.53723e-06
54	  0.601569	  0.870388	  0.000149161	  8.03521e-06	  12	  2.72133e-06
55	  0.694632	  0.904534	  0.000109288	  7.62527e-06	  12	  2.58249e-06
56	  0.790617	  0.927173	  8.22162e-05	  4.12126e-06	  12	  1.39577e-06
57	  0.888577	  0.942809	  6.33722e-05	  3.37406e-06	  12	  1.14271e-06
58	  0.987924	  0.953998	  4.9893e-05	  1.64012e-06	  12	  5.55468e-07
59	  0.314159	  0	  0.00056581	  1.12887e-05	  6	  5.17304e-06
60	  0.331153	  0.316228	  0.000512389	  8.59909e-06	  12	  2.9123e-06
61	  0.377572	  0.5547	  0.000392702	  1.2141e-05	  12	  4.11185e-06
62	  0.444288	  0.707107	  0.000282116	  6.44478e-06	  12	  2.18269e-06
63	  0.523599	  0.8	  0.000200477	  9.87138e-06	  12	  3.34319e-06
64	  0.610616	  0.857493	  0.00014445	  4.12877e-06	  12	  1.39831e-06
65	  0.702481	  0.894427	  0.000106629	  4.96494e-06	  12	  1.6815e-06
66	  0.797522	  0.919145	  8.0644e-05	  4.43603e-06	  12	  1.50237e-06
67	  0.894726	  0.936329	  6.23818e-05	  2.077e-06	  12	  7.03429e-07
68	  0.993459	  0.948683	  4.92701e-05	  2.63737e-06	  12	  8.93213e-07
69	  0.331153	  0	  0.000512389	  6.89464e-06	  12	  2.33504e-06
70	  0.347316	  0.301511	  0.000461525	  6.41746e-06	  24	  1.63083e-06
71	  0.391825	  0.534522	  0.000365623	  6.87998e-06	  24	  1.74837e-06
72	  0.456463	  0.688247	  0.00026716	  1.1712e-05	  24	  2.9763e-06
73	  0.533968	  0.784465	  0.000192286	  6.14549e-06	  24	  1.56172e-06
74	  0.61953	  0.845154	  0.000140033	  4.78577e-06	  24	  1.21618e-06
75	  0.710244	  0.884652	  0.000104113	  7.01138e-06	  24	  1.78176e-06
76	  0.804368	  0.911322	  7.91357e-05	  3.98168e-06	  24	  1.01184e-06
77	  0.900833	  0.929981	  6.14503e-05	  3.15927e-06	  24	  8.02847e-07
78	  0.998963	  0.943456	  4.86634e-05	  2.07079e-06	  24	  5.26239e-07
79	  0.377572	  0	  0.000392702	  5.66666e-06	  12	  1.91916e-06
80	  0.391825	  0.267261	  0.000365623	  4.44284e-06	  24	  1.12903e-06
81	  0.431771	  0.485071	  0.000298428	  7.23631e-06	  24	  1.83892e-06
82	  0.491179	  0.639602	  0.000228743	  5.30591e-06	  24	  1.34836e-06
83	  0.563933	  0.742781	  0.000171157	  6.969e-06	  24	  1.77099e-06
84	  0.645536	  0.811107	  0.000128147	  5.68907e-06	  24	  1.44573e-06
85	  0.733038	  0.857143	  9.71158e-05	  5.03332e-06	  24	  1.27909e-06
86	  0.824564	  0.889001	  7.48811e-05	  2.2466e-06	  24	  5.70915e-07
87	  0.918912	  0.911685	  5.87657e-05	  3.25979e-06	  24	  8.28392e-07
88	  0.418879	  0	  0.000317111	  1.36869e-06	  6	  6.27202e-07
89	  0.431771	  0.242536	  0.000298428	  3.37423e-06	  12	  1.14277e-06
90	  0.468321	  0.447214	  0.000253118	  5.61111e-06	  12	  1.90034e-06
91	  0.523599	  0.6	  0.000200477	  5.47354e-06	  12	  1.85375e-06
92	  0.592384	  0.707107	  0.000154211	  2.73338e-06	  12	  9.25728e-07
93	  0.670534	  0.780869	  0.000118025	  5.66964e-06	  12	  1.92017e-06
94	  0.755145	  0.83205	  9.10016e-05	  3.34284e-06	  12	  1.13214e-06
95	  0.844278	  0.868243	  7.10317e-05	  3.17574e-06	  12	  1.07554e-06
96	  0.936642	  0.894427	  5.6289e-05	  1.7106e-06	  12	  5.79338e-07
97	  0.431771	  0	  0.000298428	  3.1837e-06	  12	  1.07824e-06
98	  0.444288	  0.235702	  0.000282116	  1.92027e-06	  24	  4.87988e-07
99	  0.479886	  0.436436	  0.000240238	  6.45984e-06	  24	  1.6416e-06
100	  0.533968	  0.588348	  0.000192286	  3.39809e-06	  24	  8.63537e-07
101	  0.601569	  0.696311	  0.000149161	  3.19912e-06	  24	  8.12973e-07
102	  0.678662	  0.771517	  0.000114957	  3.15301e-06	  24	  8.01256e-07
103	  0.762371	  0.824163	  8.90872e-05	  4.50859e-06	  24	  1.14574e-06
104	  0.850747	  0.86164	  6.98511e-05	  3.87086e-06	  24	  9.8368e-07
105	  0.942478	  0.888889	  5.55114e-05	  3.23503e-06	  24	  8.22098e-07
106	  0.444288	  0	  0.000282116	  2.71544e-06	  6	  1.24434e-06
107	  0.456463	  0.229416	  0.00026716	  4.91547e-06	  12	  1.66475e-06
108	  0.491179	  0.426401	  0.000228743	  4.31743e-06	  12	  1.46221e-06
109	  0.54414	  0.57735	  0.000184652	  1.59209e-06	  12	  5.39201e-07
110	  0.610616	  0.685994	  0.00014445	  5.80876e-06	  12	  1.96728e-06
111	  0.686693	  0.762493	  0.00011206	  3.57351e-06	  12	  1.21026e-06
112	  0.76953	  0.816497	  8.72914e-05	  3.194e-06	  12	  1.08173e-06
113	  0.857168	  0.855186	  6.86794e-05	  1.84083e-06	  12	  6.23442e-07
114	  0.948278	  0.883452	  5.47385e-05	  1.52967e-06	  12	  5.1806e-07
115	  0.468321	  0	  0.000253118	  3.50806e-06	  12	  1.18809e-06
116	  0.479886	  0.218218	  0.000240238	  4.94343e-06	  24	  1.25625e-06
117	  0.51302	  0.408248	  0.000209203	  5.18129e-06	  24	  1.31669e-06
118	  0.563933	  0.557086	  0.000171157	  4.75143e-06	  24	  1.20745e-06
119	  0.628319	  0.666667	  0.000135839	  3.37201e-06	  24	  8.5691e-07
120	  0.702481	  0.745356	  0.000106629	  4.15413e-06	  24	  1.05566e-06
121	  0.783651	  0.801784	  8.38484e-05	  3.46426e-06	  24	  8.80353e-07
122	  0.869868	  0.842701	  6.64672e-05	  2.25753e-06	  24	  5.73693e-07
123	  0.959772	  0.872872	  5.32783e-05	  2.2785e-06	  24	  5.79022e-07
124	  0.523599	  0	  0.000200477	  2.4844e-06	  18	  7.09799e-07
125	  0.533968	  0.196116	  0.000192286	  2.25662e-06	  36	  4.88935e-07
126	  0.563933	  0.371391	  0.000171157	  2.34082e-06	  36	  5.07178e-07
127	  0.610616	  0.514496	  0.00014445	  2.78129e-06	  36	  6.02614e-07
128	  0.670534	  0.624695	  0.000118025	  2.91603e-06	  36	  6.31807e-07
129	  0.74048	  0.707107	  9.50147e-05	  3.09635e-06	  36	  6.70876e-07
130	  0.817887	  0.768221	  7.62607e-05	  2.74825e-06	  36	  5.95455e-07
131	  0.900833	  0.813733	  6.14503e-05	  2.43785e-06	  36	  5.282e-07
132	  0.987924	  0.847998	  4.9893e-05	  2.05834e-06	  36	  4.45973e-07
133	  0.533968	  0	  0.000192286	  2.26531e-06	  12	  7.67206e-07
134	  0.54414	  0.19245	  0.000184652	  3.56147e-06	  24	  9.05057e-07
135	  0.573574	  0.365148	  0.000165194	  2.43682e-06	  24	  6.19254e-07
136	  0.61953	  0.507093	  0.000140033	  3.11668e-06	  24	  7.92023e-07
137	  0.678662	  0.617213	  0.000114957	  2.91276e-06	  24	  7.40202e-07
138	  0.747849	  0.70014	  9.29373e-05	  2.83037e-06	  24	  7.19266e-07
139	  0.824564	  0.762001	  7.48811e-05	  1.22187e-06	  24	  3.10507e-07
140	  0.9069	  0.80829	  6.0533e-05	  2.5859e-06	  24	  6.5714e-07
141	  0.993459	  0.843274	  4.92701e-05	  1.93657e-06	  24	  4.92129e-07
142	  0.563933	  0	  0.000171157	  1.00389e-06	  12	  3.39992e-07
143	  0.573574	  0.182574	  0.000165194	  2.00197e-06	  24	  5.08749e-07
144	  0.601569	  0.348155	  0.000149161	  2.46977e-06	  24	  6.27629e-07
145	  0.645536	  0.486664	  0.000128147	  2.99596e-06	  24	  7.61346e-07
146	  0.702481	  0.596285	  0.000106629	  2.98664e-06	  24	  7.58978e-07
147	  0.76953	  0.680414	  8.72914e-05	  1.78769e-06	  24	  4.54295e-07
148	  0.844278	  0.744208	  7.10317e-05	  2.72231e-06	  24	  6.91806e-07
149	  0.92486	  0.792594	  5.79216e-05	  2.26976e-06	  24	  5.76802e-07
150	  0.592384	  0	  0.000154211	  6.91188e-07	  6	  3.16736e-07
151	  0.601569	  0.174078	  0.000149161	  1.41825e-06	  12	  4.80326e-07
152	  0.628319	  0.333333	  0.000135839	  1.91785e-06	  12	  6.49527e-07
153	  0.670534	  0.468521	  0.000118025	  1.72978e-06	  12	  5.85833e-07
154	  0.72552	  0.57735	  9.93707e-05	  3.38853e-06	  12	  1.14761e-06
155	  0.790617	  0.662266	  8.22162e-05	  2.49255e-06	  12	  8.44166e-07
156	  0.863541	  0.727607	  6.75513e-05	  2.04162e-06	  12	  6.91446e-07
157	  0.942478	  0.777778	  5.55114e-05	  1.57121e-06	  12	  5.32131e-07
158	  0.610616	  0	  0.00014445	  1.39271e-06	  12	  4.71675e-07
159	  0.61953	  0.169031	  0.000140033	  1.78466e-06	  24	  4.53524e-07
160	  0.645536	  0.324443	  0.000128147	  2.14628e-06	  24	  5.45421e-07
161	  0.686693	  0.457496	  0.00011206	  2.3449e-06	  24	  5.95895e-07
162	  0.74048	  0.565685	  9.50147e-05	  1.99471e-06	  24	  5.06905e-07
163	  0.804368	  0.650945	  7.91357e-05	  2.72607e-06	  24	  6.92759e-07
164	  0.876148	  0.717137	  6.5391e-05	  2.3938e-06	  24	  6.08323e-07
165	  0.954042	  0.76835	  5.39956e-05	  1.89535e-06	  24	  4.81653e-07
166	  0.628319	  0	  0.000135839	  5.10228e-06	  6	  2.33811e-06
167	  0.636985	  0.164399	  0.000131856	  2.37332e-06	  12	  8.03784e-07
168	  0.662306	  0.316228	  0.000121199	  1.7023e-06	  12	  5.76528e-07
169	  0.702481	  0.447214	  0.000106629	  9.89011e-07	  12	  3.34953e-07
170	  0.755145	  0.5547	  9.10016e-05	  1.28418e-06	  12	  4.34921e-07
171	  0.817887	  0.640184	  7.62607e-05	  1.62741e-06	  12	  5.51165e-07
172	  0.888577	  0.707107	  6.33722e-05	  1.68853e-06	  12	  5.71863e-07
173	  0.965468	  0.759257	  5.25652e-05	  1.93679e-06	  12	  6.55943e-07
174	  0.636985	  0	  0.000131856	  2.32788e-06	  12	  7.88395e-07
175	  0.645536	  0.162221	  0.000128147	  1.27251e-06	  24	  3.23374e-07
176	  0.670534	  0.312348	  0.000118025	  1.53572e-06	  24	  3.90264e-07
177	  0.710244	  0.442326	  0.000104113	  2.05314e-06	  24	  5.21752e-07
178	  0.762371	  0.549442	  8.90872e-05	  2.56377e-06	  24	  6.51517e-07
179	  0.824564	  0.635001	  7.48811e-05	  1.31396e-06	  24	  3.33909e-07
180	  0.894726	  0.702247	  6.23818e-05	  1.40891e-06	  24	  3.58037e-07
181	  0.971131	  0.754829	  5.18642e-05	  1.73432e-06	  24	  4.40734e-07
182	  0.662306	  0	  0.000121199	  1.49461e-06	  12	  5.06187e-07
183	  0.670534	  0.156174	  0.000118025	  1.42015e-06	  24	  3.60895e-07
184	  0.694632	  0.301511	  0.000109288	  1.44975e-06	  24	  3.68418e-07
185	  0.733038	  0.428571	  9.71158e-05	  1.99441e-06	  24	  5.06827e-07
186	  0.783651	  0.534522	  8.38484e-05	  1.57324e-06	  24	  3.99798e-07
187	  0.844278	  0.620174	  7.10317e-05	  1.53064e-06	  24	  3.88972e-07
188	  0.912926	  0.688247	  5.96217e-05	  1.21267e-06	  24	  3.08168e-07
189	  0.987924	  0.741999	  4.9893e-05	  1.48607e-06	  24	  3.77646e-07
190	  0.670534	  0	  0.000118025	  1.82128e-06	  12	  6.16823e-07
191	  0.678662	  0.154303	  0.000114957	  1.22625e-06	  24	  3.1162e-07
192	  0.702481	  0.298142	  0.000106629	  1.89316e-06	  24	  4.81098e-07
193	  0.74048	  0.424264	  9.50147e-05	  1.52395e-06	  24	  3.87272e-07
194	  0.790617	  0.529813	  8.22162e-05	  1.63232e-06	  24	  4.14811e-07
195	  0.850747	  0.615457	  6.98511e-05	  1.18299e-06	  24	  3.00626e-07
196	  0.918912	  0.683763	  5.87657e-05	  1.80929e-06	  24	  4.59784e-07
197	  0.993459	  0.737865	  4.92701e-05	  1.56348e-06	  24	  3.97318e-07
198	  0.702481	  0	  0.000106629	  8.07945e-07	  12	  2.73631e-07
199	  0.710244	  0.147442	  0.000104113	  1.51133e-06	  24	  3.84065e-07
200	  0.733038	  0.285714	  9.71158e-05	  1.91296e-06	  24	  4.8613e-07
201	  0.76953	  0.408248	  8.72914e-05	  1.54124e-06	  24	  3.91665e-07
202	  0.817887	  0.512148	  7.62607e-05	  2.3031e-06	  24	  5.85274e-07
203	  0.876148	  0.597614	  6.5391e-05	  1.80818e-06	  24	  4.59503e-07
204	  0.942478	  0.666667	  5.55114e-05	  1.5878e-06	  24	  4.03498e-07
205	  0.733038	  0	  9.71158e-05	  1.04405e-06	  6	  4.78434e-07
206	  0.74048	  0.141421	  9.50147e-05	  1.16491e-06	  12	  3.94526e-07
207	  0.762371	  0.274721	  8.90872e-05	  9.56538e-07	  12	  3.23956e-07
208	  0.797522	  0.393919	  8.0644e-05	  1.46153e-06	  12	  4.94985e-07
209	  0.844278	  0.496139	  7.10317e-05	  1.6881e-06	  12	  5.71716e-07
210	  0.900833	  0.581238	  6.14503e-05	  1.91843e-06	  12	  6.49725e-07
211	  0.965468	  0.650791	  5.25652e-05	  1.44906e-06	  12	  4.90761e-07
212	  0.74048	  0	  9.50147e-05	  1.21515e-06	  18	  3.4717e-07
213	  0.747849	  0.140028	  9.29373e-05	  1.58897e-06	  36	  3.44278e-07
214	  0.76953	  0.272166	  8.72914e-05	  1.25909e-06	  36	  2.72803e-07
215	  0.804368	  0.390567	  7.91357e-05	  1.81673e-06	  36	  3.93626e-07
216	  0.850747	  0.492366	  6.98511e-05	  1.18304e-06	  36	  2.56326e-07
217	  0.9069	  0.57735	  6.0533e-05	  1.19732e-06	  36	  2.59419e-07
218	  0.971131	  0.646997	  5.18642e-05	  1.97238e-06	  36	  4.2735e-07
219	  0.755145	  0	  9.10016e-05	  8.30681e-07	  12	  2.81331e-07
220	  0.762371	  0.137361	  8.90872e-05	  1.4997e-06	  24	  3.8111e-07
221	  0.783651	  0.267261	  8.38484e-05	  1.28367e-06	  24	  3.2621e-07
222	  0.817887	  0.384111	  7.62607e-05	  1.56018e-06	  24	  3.96479e-07
223	  0.863541	  0.485071	  6.75513e-05	  8.29317e-07	  24	  2.10749e-07
224	  0.918912	  0.569803	  5.87657e-05	  1.28854e-06	  24	  3.27448e-07
225	  0.982358	  0.639602	  5.05463e-05	  1.1509e-06	  24	  2.9247e-07
226	  0.762371	  0	  8.90872e-05	  6.70738e-07	  12	  2.27162e-07
227	  0.76953	  0.136083	  8.72914e-05	  1.53611e-06	  24	  3.90361e-07
228	  0.790617	  0.264906	  8.22162e-05	  1.08758e-06	  24	  2.76381e-07
229	  0.824564	  0.381	  7.48811e-05	  1.06187e-06	  24	  2.69847e-07
230	  0.869868	  0.481543	  6.64672e-05	  7.86779e-07	  24	  1.9994e-07
